  t[s]	          x1[m]	        x2[m/s]	        x3[rad]	      x4[rad/s]	        F[N]
  0.58	+2.24575193e-01	+1.56185044e-02	-6.19962770e-02	+1.07624555e-01	-4.496326e-01
  0.59	+2.24731095e-01	+8.81777408e-03	-6.09199739e-02	+1.09006458e-01	-4.413090e-01
  0.60	+2.24818999e-01	+2.24349785e-03	-5.98298630e-02	+1.10116641e-01	-4.333097e-01
  0.61	+2.24841169e-01	-4.11402374e-03	-5.87286606e-02	+1.10980271e-01	-4.256490e-01
  0.62	+2.24799772e-01	-1.02632713e-02	-5.76188313e-02	+1.11619147e-01	-4.182685e-01
  0.63	+2.24696892e-01	-1.62125554e-02	-5.65026217e-02	+1.12054112e-01	-4.111686e-01
  0.64	+2.24534526e-01	-2.19693191e-02	-5.53820702e-02	+1.12303536e-01	-4.043094e-01
  0.65	+2.24314601e-01	-2.75407457e-02	-5.42590315e-02	+1.12384731e-01	-3.976848e-01
  0.66	+2.24038969e-01	-3.29333775e-02	-5.31351872e-02	+1.12313141e-01	-3.912663e-01
  0.67	+2.23709418e-01	-3.81534727e-02	-5.20120645e-02	+1.12103174e-01	-3.850453e-01
  0.68	+2.23327672e-01	-4.32068000e-02	-5.08910467e-02	+1.11767790e-01	-3.790009e-01
  0.69	+2.22895401e-01	-4.80988515e-02	-4.97733876e-02	+1.11318999e-01	-3.731238e-01
  0.70	+2.22414215e-01	-5.28347361e-02	-4.86602205e-02	+1.10767664e-01	-3.673983e-01
  0.71	+2.21885676e-01	-5.74193078e-02	-4.75525707e-02	+1.10123808e-01	-3.618155e-01
  0.72	+2.21311298e-01	-6.18571137e-02	-4.64513630e-02	+1.09396526e-01	-3.563632e-01
  0.73	+2.20692548e-01	-6.61524743e-02	-4.53574311e-02	+1.08594191e-01	-3.510335e-01
  0.74	+2.20030850e-01	-7.03094596e-02	-4.42715255e-02	+1.07724417e-01	-3.458167e-01
  0.75	+2.19327588e-01	-7.43319411e-02	-4.31943201e-02	+1.06794198e-01	-3.407059e-01
  0.76	+2.18584107e-01	-7.82235841e-02	-4.21264191e-02	+1.05809905e-01	-3.356934e-01
  0.77	+2.17801714e-01	-8.19878815e-02	-4.10683631e-02	+1.04777385e-01	-3.307732e-01
  0.78	+2.16981683e-01	-8.56281541e-02	-4.00206341e-02	+1.03701970e-01	-3.259393e-01
  0.79	+2.16125255e-01	-8.91475747e-02	-3.89836608e-02	+1.02588545e-01	-3.211865e-01
  0.80	+2.15233638e-01	-9.25491710e-02	-3.79578231e-02	+1.01441572e-01	-3.165099e-01
  0.81	+2.14308009e-01	-9.58358432e-02	-3.69434564e-02	+1.00265135e-01	-3.119052e-01
  0.82	+2.13349518e-01	-9.90103693e-02	-3.59408552e-02	+9.90629652e-02	-3.073684e-01
  0.83	+2.12359287e-01	-1.02075417e-01	-3.49502765e-02	+9.78384787e-02	-3.028960e-01
  0.84	+2.11338409e-01	-1.05033551e-01	-3.39719436e-02	+9.65947956e-02	-2.984847e-01
  0.85	+2.10287955e-01	-1.07887239e-01	-3.30060481e-02	+9.53347711e-02	-2.941315e-01
  0.86	+2.09208968e-01	-1.10638861e-01	-3.20527535e-02	+9.40610141e-02	-2.898338e-01
  0.87	+2.08102469e-01	-1.13290717e-01	-3.11121969e-02	+9.27759112e-02	-2.855892e-01
  0.88	+2.06969455e-01	-1.15845026e-01	-3.01844917e-02	+9.14816430e-02	-2.813955e-01
  0.89	+2.05810903e-01	-1.18303939e-01	-2.92697295e-02	+9.01802036e-02	-2.772508e-01
  0.90	+2.04627765e-01	-1.20669540e-01	-2.83679820e-02	+8.88734150e-02	-2.731532e-01
